STATISTIC Label,year,month,Selected Base Reference Period,UNIT,VALUE
Consumer Price Index,1923,October,Base November 1989=100,Base = 100,
Consumer Price Index,1923,October,Base November 1996=100,Base = 100,
Consumer Price Index,1923,October,Base December 2001=100,Base = 100,
Consumer Price Index,1923,October,Base December 2006=100,Base = 100,
Consumer Price Index,1923,October,Base December 2011=100,Base = 100,
Consumer Price Index,1923,October,Base December 2016=100,Base = 100,
Consumer Price Index,1923,October,Base December 2023=100,Base = 100,
Consumer Price Index,1923,November,Base July 1914=100,Base = 100,186
Consumer Price Index,1923,November,Base August 1947=100,Base = 100,
Consumer Price Index,1923,November,Base August 1953=100,Base = 100,
Consumer Price Index,1923,November,Base November 1968=100,Base = 100,
Consumer Price Index,1923,November,Base November 1975=100,Base = 100,
Consumer Price Index,1923,November,Base November 1982=100,Base = 100,
Consumer Price Index,1923,November,Base November 1989=100,Base = 100,
Consumer Price Index,1923,November,Base November 1996=100,Base = 100,
Consumer Price Index,1923,November,Base December 2001=100,Base = 100,
Consumer Price Index,1923,November,Base December 2006=100,Base = 100,
Consumer Price Index,1923,November,Base December 2011=100,Base = 100,
Consumer Price Index,1923,November,Base December 2016=100,Base = 100,
Consumer Price Index,1923,November,Base December 2023=100,Base = 100,
Consumer Price Index,1923,December,Base July 1914=100,Base = 100,186
Consumer Price Index,1923,December,Base August 1947=100,Base = 100,
Consumer Price Index,1923,December,Base August 1953=100,Base = 100,
Consumer Price Index,1923,December,Base November 1968=100,Base = 100,
Consumer Price Index,1923,December,Base November 1975=100,Base = 100,
Consumer Price Index,1923,December,Base November 1982=100,Base = 100,
Consumer Price Index,1923,December,Base November 1989=100,Base = 100,
Consumer Price Index,1923,December,Base November 1996=100,Base = 100,
Consumer Price Index,1923,December,Base December 2001=100,Base = 100,
Consumer Price Index,1923,December,Base December 2006=100,Base = 100,
Consumer Price Index,1923,December,Base December 2011=100,Base = 100,
Consumer Price Index,1923,December,Base December 2016=100,Base = 100,
Consumer Price Index,1923,December,Base December 2023=100,Base = 100,
Consumer Price Index,1924,January,Base July 1914=100,Base = 100,188
Consumer Price Index,1924,January,Base August 1947=100,Base = 100,
Consumer Price Index,1924,January,Base August 1953=100,Base = 100,
Consumer Price Index,1924,January,Base November 1968=100,Base = 100,
Consumer Price Index,1924,January,Base November 1975=100,Base = 100,
Consumer Price Index,1924,January,Base November 1982=100,Base = 100,
Consumer Price Index,1924,January,Base November 1989=100,Base = 100,
Consumer Price Index,1924,January,Base November 1996=100,Base = 100,
Consumer Price Index,1924,January,Base December 2001=100,Base = 100,
Consumer Price Index,1924,January,Base December 2006=100,Base = 100,
Consumer Price Index,1924,January,Base December 2011=100,Base = 100,
Consumer Price Index,1924,January,Base December 2016=100,Base = 100,
Consumer Price Index,1924,January,Base December 2023=100,Base = 100,
Consumer Price Index,1924,February,Base July 1914=100,Base = 100,188
Consumer Price Index,1924,February,Base August 1947=100,Base = 100,
Consumer Price Index,1924,February,Base August 1953=100,Base = 100,
Consumer Price Index,1924,February,Base November 1968=100,Base = 100,
Consumer Price Index,1924,February,Base November 1975=100,Base = 100,
Consumer Price Index,1924,February,Base November 1982=100,Base = 100,
Consumer Price Index,1924,February,Base November 1989=100,Base = 100,
Consumer Price Index,1924,February,Base November 1996=100,Base = 100,
Consumer Price Index,1924,February,Base December 2001=100,Base = 100,
Consumer Price Index,1924,February,Base December 2006=100,Base = 100,
Consumer Price Index,1924,February,Base December 2011=100,Base = 100,
Consumer Price Index,1924,February,Base December 2016=100,Base = 100,
Consumer Price Index,1924,February,Base December 2023=100,Base = 100,
Consumer Price Index,1924,March,Base July 1914=100,Base = 100,188
Consumer Price Index,1924,March,Base August 1947=100,Base = 100,
Consumer Price Index,1924,March,Base August 1953=100,Base = 100,
Consumer Price Index,1924,March,Base November 1968=100,Base = 100,
Consumer Price Index,1924,March,Base November 1975=100,Base = 100,
Consumer Price Index,1924,March,Base November 1982=100,Base = 100,
Consumer Price Index,1924,March,Base November 1989=100,Base = 100,
Consumer Price Index,1924,March,Base November 1996=100,Base = 100,
Consumer Price Index,1924,March,Base December 2001=100,Base = 100,
Consumer Price Index,1924,March,Base December 2006=100,Base = 100,
Consumer Price Index,1924,March,Base December 2011=100,Base = 100,
Consumer Price Index,1924,March,Base December 2016=100,Base = 100,
Consumer Price Index,1924,March,Base December 2023=100,Base = 100,
Consumer Price Index,1924,April,Base July 1914=100,Base = 100,178
Consumer Price Index,1924,April,Base August 1947=100,Base = 100,
Consumer Price Index,1924,April,Base August 1953=100,Base = 100,
Consumer Price Index,1924,April,Base November 1968=100,Base = 100,
Consumer Price Index,1924,April,Base November 1975=100,Base = 100,
Consumer Price Index,1924,April,Base November 1982=100,Base = 100,
Consumer Price Index,1924,April,Base November 1989=100,Base = 100,
Consumer Price Index,1924,April,Base November 1996=100,Base = 100,
Consumer Price Index,1924,April,Base December 2001=100,Base = 100,
Consumer Price Index,1924,April,Base December 2006=100,Base = 100,
Consumer Price Index,1924,April,Base December 2011=100,Base = 100,
Consumer Price Index,1924,April,Base December 2016=100,Base = 100,
Consumer Price Index,1924,April,Base December 2023=100,Base = 100,
Consumer Price Index,1924,May,Base July 1914=100,Base = 100,178
Consumer Price Index,1924,May,Base August 1947=100,Base = 100,
Consumer Price Index,1924,May,Base August 1953=100,Base = 100,
Consumer Price Index,1924,May,Base November 1968=100,Base = 100,
Consumer Price Index,1924,May,Base November 1975=100,Base = 100,
Consumer Price Index,1924,May,Base November 1982=100,Base = 100,
Consumer Price Index,1924,May,Base November 1989=100,Base = 100,
Consumer Price Index,1924,May,Base November 1996=100,Base = 100,
Consumer Price Index,1924,May,Base December 2001=100,Base = 100,
Consumer Price Index,1924,May,Base December 2006=100,Base = 100,
Consumer Price Index,1924,May,Base December 2011=100,Base = 100,
Consumer Price Index,1924,May,Base December 2016=100,Base = 100,
Consumer Price Index,1924,May,Base December 2023=100,Base = 100,
Consumer Price Index,1924,June,Base July 1914=100,Base = 100,178
Consumer Price Index,1924,June,Base August 1947=100,Base = 100,
Consumer Price Index,1924,June,Base August 1953=100,Base = 100,
Consumer Price Index,1924,June,Base November 1968=100,Base = 100,
Consumer Price Index,1924,June,Base November 1975=100,Base = 100,
Consumer Price Index,1924,June,Base November 1982=100,Base = 100,
Consumer Price Index,1924,June,Base November 1989=100,Base = 100,
Consumer Price Index,1924,June,Base November 1996=100,Base = 100,
Consumer Price Index,1924,June,Base December 2001=100,Base = 100,
Consumer Price Index,1924,June,Base December 2006=100,Base = 100,
Consumer Price Index,1924,June,Base December 2011=100,Base = 100,
Consumer Price Index,1924,June,Base December 2016=100,Base = 100,
Consumer Price Index,1924,June,Base December 2023=100,Base = 100,
Consumer Price Index,1924,July,Base July 1914=100,Base = 100,183
Consumer Price Index,1924,July,Base August 1947=100,Base = 100,
Consumer Price Index,1924,July,Base August 1953=100,Base = 100,
Consumer Price Index,1924,July,Base November 1968=100,Base = 100,
Consumer Price Index,1924,July,Base November 1975=100,Base = 100,
Consumer Price Index,1924,July,Base November 1982=100,Base = 100,
Consumer Price Index,1924,July,Base November 1989=100,Base = 100,
Consumer Price Index,1924,July,Base November 1996=100,Base = 100,
Consumer Price Index,1924,July,Base December 2001=100,Base = 100,
Consumer Price Index,1924,July,Base December 2006=100,Base = 100,
Consumer Price Index,1924,July,Base December 2011=100,Base = 100,
Consumer Price Index,1924,July,Base December 2016=100,Base = 100,
Consumer Price Index,1924,July,Base December 2023=100,Base = 100,
Consumer Price Index,1924,August,Base July 1914=100,Base = 100,183
Consumer Price Index,1924,August,Base August 1947=100,Base = 100,
Consumer Price Index,1924,August,Base August 1953=100,Base = 100,
Consumer Price Index,1924,August,Base November 1968=100,Base = 100,
Consumer Price Index,1924,August,Base November 1975=100,Base = 100,
Consumer Price Index,1924,August,Base November 1982=100,Base = 100,
Consumer Price Index,1924,August,Base November 1989=100,Base = 100,
Consumer Price Index,1924,August,Base November 1996=100,Base = 100,
Consumer Price Index,1924,August,Base December 2001=100,Base = 100,
Consumer Price Index,1924,August,Base December 2006=100,Base = 100,
Consumer Price Index,1924,August,Base December 2011=100,Base = 100,
Consumer Price Index,1924,August,Base December 2016=100,Base = 100,
Consumer Price Index,1924,August,Base December 2023=100,Base = 100,
Consumer Price Index,1924,September,Base July 1914=100,Base = 100,183
Consumer Price Index,1924,September,Base August 1947=100,Base = 100,
Consumer Price Index,1924,September,Base August 1953=100,Base = 100,
Consumer Price Index,1924,September,Base November 1968=100,Base = 100,
Consumer Price Index,1924,September,Base November 1975=100,Base = 100,
Consumer Price Index,1924,September,Base November 1982=100,Base = 100,
Consumer Price Index,1924,September,Base November 1989=100,Base = 100,
Consumer Price Index,1924,September,Base November 1996=100,Base = 100,
Consumer Price Index,1924,September,Base December 2001=100,Base = 100,
Consumer Price Index,1924,September,Base December 2006=100,Base = 100,
Consumer Price Index,1924,September,Base December 2011=100,Base = 100,
Consumer Price Index,1924,September,Base December 2016=100,Base = 100,
